UN;Codigo;Servicio;Sentido;Periodo;Frecuencia_buses_hr;Velocidad_kmh
2;282;282;Ret;PRENOC2;0,5;28,2
2;282;282;Ret;PTA1;0,5;18,8
2;282;282;Ret;PTA2;1,0;20,6
2;282;282;Ret;TNOC;0,0;0,0
2;282;282;Ret;TPMA;0,7;22,9
2;283;G43;Ida;FPMA;5,3;18,8
2;283;G43;Ida;FPNOC;4,0;17,2
2;283;G43;Ida;FPTA;4,8;15,5
2;283;G43;Ida;NOC;0,0;0,0
2;283;G43;Ida;PMA;6,0;15,0
2;283;G43;Ida;PMD;5,3;17,0
2;283;G43;Ida;PRENOC1;0,0;0,0
2;283;G43;Ida;PRENOC2;1,5;19,8
2;283;G43;Ida;PTA1;5,5;12,6
2;283;G43;Ida;PTA2;5,5;12,2
2;283;G43;Ida;TNOC;4,0;21,5
2;283;G43;Ida;TPMA;4,7;16,4
2;283;G43;Ret;FPMA;5,3;16,6
2;283;G43;Ret;FPNOC;4,0;18,0
2;283;G43;Ret;FPTA;4,8;15,7
2;283;G43;Ret;NOC;0,0;0,0
2;283;G43;Ret;PMA;6,0;12,2
2;283;G43;Ret;PMD;5,3;15,9
2;283;G43;Ret;PRENOC1;0,0;0,0
2;283;G43;Ret;PRENOC2;1,5;20,3
2;283;G43;Ret;PTA1;5,5;13,8
2;283;G43;Ret;PTA2;5,5;14,7
2;283;G43;Ret;TNOC;4,0;16,8
2;283;G43;Ret;TPMA;4,7;14,6
2;284;G24;Ida;FPMA;4,3;21,4
2;284;G24;Ida;FPNOC;4,0;20,7
2;284;G24;Ida;FPTA;5,6;18,6
2;284;G24;Ida;NOC;0,4;24,7
2;284;G24;Ida;PMA;7,3;15,7
2;284;G24;Ida;PMD;4,0;19,8
2;284;G24;Ida;PRENOC1;0,0;0,0
2;284;G24;Ida;PRENOC2;1,5;23,0
2;284;G24;Ida;PTA1;6,0;16,7
2;284;G24;Ida;PTA2;6,5;18,0
2;284;G24;Ida;TNOC;6,0;23,6
2;284;G24;Ida;TPMA;7,3;18,3
2;284;G24;Ret;FPMA;0,0;0,0
2;284;G24;Ret;FPNOC;0,0;0,0
2;284;G24;Ret;FPTA;0,0;0,0
2;284;G24;Ret;NOC;0,0;0,0
2;284;G24;Ret;PMA;0,0;0,0
2;284;G24;Ret;PMD;0,0;0,0
2;284;G24;Ret;PRENOC1;0,0;0,0
2;284;G24;Ret;PRENOC2;0,0;0,0
2;284;G24;Ret;PTA1;0,0;0,0
2;284;G24;Ret;PTA2;0,0;0,0
2;284;G24;Ret;TNOC;0,0;0,0
2;284;G24;Ret;TPMA;0,0;0,0
2;217e;217e;Ida;FPMA;0,0;0,0
2;217e;217e;Ida;FPNOC;0,0;0,0
2;217e;217e;Ida;FPTA;0,0;0,0
2;217e;217e;Ida;NOC;0,0;0,0
2;217e;217e;Ida;PMA;3,3;20,3
2;217e;217e;Ida;PMD;0,0;0,0
2;217e;217e;Ida;PRENOC1;0,0;0,0
2;217e;217e;Ida;PRENOC2;0,0;0,0
2;217e;217e;Ida;PTA1;1,5;26,1
2;217e;217e;Ida;PTA2;3,0;30,2
2;217e;217e;Ida;TNOC;3,0;28,4
2;217e;217e;Ida;TPMA;2,7;25,4
2;217e;217e;Ret;FPMA;0,0;0,0
2;217e;217e;Ret;FPNOC;0,0;0,0
2;217e;217e;Ret;FPTA;0,0;0,0
2;217e;217e;Ret;NOC;0,0;0,0
2;217e;217e;Ret;PMA;3,3;27,8
2;217e;217e;Ret;PMD;0,0;0,0
2;217e;217e;Ret;PRENOC1;0,0;0,0
2;217e;217e;Ret;PRENOC2;0,0;0,0
2;217e;217e;Ret;PTA1;1,5;21,2
2;217e;217e;Ret;PTA2;3,0;28,0
2;217e;217e;Ret;TNOC;1,0;34,8
2;217e;217e;Ret;TPMA;2,7;30,6
2;238e;G08v;Ida;FPMA;5,0;20,2
2;238e;G08v;Ida;FPNOC;4,7;22,6
2;238e;G08v;Ida;FPTA;6,0;18,5
2;238e;G08v;Ida;NOC;0,0;0,0
2;238e;G08v;Ida;PMA;7,3;15,5
2;238e;G08v;Ida;PMD;5,3;18,8
2;238e;G08v;Ida;PRENOC1;0,0;0,0
2;238e;G08v;Ida;PRENOC2;4,0;27,0
2;238e;G08v;Ida;PTA1;5,0;16,5
2;238e;G08v;Ida;PTA2;6,0;18,7
2;238e;G08v;Ida;TNOC;7,0;21,2
2;238e;G08v;Ida;TPMA;6,7;18,9
2;238e;G08v;Ret;FPMA;5,0;21,3
2;238e;G08v;Ret;FPNOC;6,0;23,4
2;238e;G08v;Ret;FPTA;6,0;19,1
2;238e;G08v;Ret;NOC;0,0;0,0
2;238e;G08v;Ret;PMA;6,7;17,3
2;238e;G08v;Ret;PMD;5,3;19,8
2;238e;G08v;Ret;PRENOC1;0,0;0,0
2;238e;G08v;Ret;PRENOC2;4,5;25,9
2;238e;G08v;Ret;PTA1;5,0;16,2
2;238e;G08v;Ret;PTA2;6,0;18,8
2;238e;G08v;Ret;TNOC;6,0;22,1
2;238e;G08v;Ret;TPMA;6,0;20,5
3;303;303;Ida;FPMA;5,0;17,8
3;303;303;Ida;FPNOC;4,7;21,2
3;303;303;Ida;FPTA;6,0;17,2
3;303;303;Ida;NOC;2,0;18,5
3;303;303;Ida;PMA;10,0;14,1
3;303;303;Ida;PMD;6,0;17,4
3;303;303;Ida;PRENOC1;2,0;19,5
3;303;303;Ida;PRENOC2;4,0;23,2
3;303;303;Ida;PTA1;10,0;13,8
3;303;303;Ida;PTA2;7,0;18,4
3;303;303;Ida;TNOC;7,0;20,2
3;303;303;Ida;TPMA;6,7;16,0
3;303;303;Ret;FPMA;5,3;19,2
3;303;303;Ret;FPNOC;5,3;22,8
3;303;303;Ret;FPTA;6,4;17,7
3;303;303;Ret;NOC;2,0;30,7
3;303;303;Ret;PMA;10,0;15,9
3;303;303;Ret;PMD;6,7;18,2
3;303;303;Ret;PRENOC1;2,0;28,6
3;303;303;Ret;PRENOC2;4,5;25,7
3;303;303;Ret;PTA1;10,0;15,4
3;303;303;Ret;PTA2;7,5;18,7
3;303;303;Ret;TNOC;5,0;22,0
3;303;303;Ret;TPMA;7,3;17,9
3;304;B42;Ida;FPMA;4,7;23,2
3;304;B42;Ida;FPNOC;4,0;27,6
3;304;B42;Ida;FPTA;4,8;22,7
3;304;B42;Ida;NOC;0,0;0,0
3;304;B42;Ida;PMA;8,0;19,2
3;304;B42;Ida;PMD;4,0;23,1
3;304;B42;Ida;PRENOC1;0,0;0,0
3;304;B42;Ida;PRENOC2;1,5;29,1
3;304;B42;Ida;PTA1;5,0;18,4
3;304;B42;Ida;PTA2;5,0;21,5
3;304;B42;Ida;TNOC;4,0;22,4
3;304;B42;Ida;TPMA;4,7;20,8
3;304;B42;Ret;FPMA;4,7;26,3
3;304;B42;Ret;FPNOC;4,0;29,4
3;304;B42;Ret;FPTA;4,8;24,4
3;304;B42;Ret;NOC;0,0;0,0
3;304;B42;Ret;PMA;6,0;17,4
3;304;B42;Ret;PMD;5,3;25,9
3;304;B42;Ret;PRENOC1;0,0;0,0
3;304;B42;Ret;PRENOC2;1,5;31,5
3;304;B42;Ret;PTA1;5,0;17,0
3;304;B42;Ret;PTA2;5,0;25,3
3;304;B42;Ret;TNOC;4,0;24,9
3;304;B42;Ret;TPMA;4,7;23,5
3;307;307;Ida;FPMA;5,3;17,7
3;307;307;Ida;FPNOC;6,0;23,6
3;307;307;Ida;FPTA;8,0;16,5
3;307;307;Ida;NOC;0,7;20,8
3;307;307;Ida;PMA;9,3;15,0
3;307;307;Ida;PMD;8,0;17,6
3;307;307;Ida;PRENOC1;0,0;0,0
3;307;307;Ida;PRENOC2;4,5;24,7
3;307;307;Ida;PTA1;10,0;14,9
3;307;307;Ida;PTA2;10,0;19,9
3;307;307;Ida;TNOC;9,0;17,7
3;307;307;Ida;TPMA;6,7;16,9
3;307;307;Ret;FPMA;0,0;0,0
3;307;307;Ret;FPNOC;0,0;0,0
3;307;307;Ret;FPTA;0,0;0,0
3;307;307;Ret;NOC;0,0;0,0
3;307;307;Ret;PMA;0,0;0,0
3;307;307;Ret;PMD;0,0;0,0
3;307;307;Ret;PRENOC1;0,0;0,0
3;307;307;Ret;PRENOC2;0,0;0,0
3;307;307;Ret;PTA1;0,0;0,0
3;307;307;Ret;PTA2;0,0;0,0
3;307;307;Ret;TNOC;0,0;0,0
3;307;307;Ret;TPMA;0,0;0,0
3;308;308;Ida;FPMA;6,0;18,1
3;308;308;Ida;FPNOC;4,7;22,6
3;308;308;Ida;FPTA;5,6;17,7
3;308;308;Ida;NOC;0,7;22,9
3;308;308;Ida;PMA;8,0;14,0
3;308;308;Ida;PMD;5,3;18,0
3;308;308;Ida;PRENOC1;0,0;0,0
3;308;308;Ida;PRENOC2;3,5;26,2
3;308;308;Ida;PTA1;8,0;15,4
3;308;308;Ida;PTA2;5,5;19,3
3;308;308;Ida;TNOC;8,0;19,1
3;308;308;Ida;TPMA;8,0;16,7
3;308;308;Ret;FPMA;5,3;17,4
3;308;308;Ret;FPNOC;4,7;19,4
3;308;308;Ret;FPTA;6,4;15,9
3;308;308;Ret;NOC;0,0;0,0
3;308;308;Ret;PMA;6,7;15,7
3;308;308;Ret;PMD;6,7;15,8
3;308;308;Ret;PRENOC1;0,0;0,0
3;308;308;Ret;PRENOC2;4,0;23,0
3;308;308;Ret;PTA1;8,5;13,8
3;308;308;Ret;PTA2;7,0;15,9
3;308;308;Ret;TNOC;4,0;17,6
3;308;308;Ret;TPMA;5,3;17,9
3;310;I24;Ida;FPMA;4,7;20,9
3;310;I24;Ida;FPNOC;4,0;26,1
3;310;I24;Ida;FPTA;4,8;19,6
3;310;I24;Ida;NOC;0,0;0,0
3;310;I24;Ida;PMA;5,3;15,5
3;310;I24;Ida;PMD;4,0;20,0
3;310;I24;Ida;PRENOC1;0,0;0,0
3;310;I24;Ida;PRENOC2;2,0;28,5
3;310;I24;Ida;PTA1;5,0;18,7
3;310;I24;Ida;PTA2;5,0;22,7
3;310;I24;Ida;TNOC;4,0;19,9
3;310;I24;Ida;TPMA;4,0;18,7
3;310;I24;Ret;FPMA;4,7;22,6
3;310;I24;Ret;FPNOC;4,7;23,8
3;310;I24;Ret;FPTA;4,8;20,2
3;310;I24;Ret;NOC;0,0;0,0
3;310;I24;Ret;PMA;5,3;21,0
3;310;I24;Ret;PMD;4,0;21,1
3;310;I24;Ret;PRENOC1;0,0;0,0
3;310;I24;Ret;PRENOC2;3,0;27,4
3;310;I24;Ret;PTA1;5,0;16,5
3;310;I24;Ret;PTA2;5,0;19,0
3;310;I24;Ret;TNOC;3,0;26,0
3;310;I24;Ret;TPMA;4,0;22,0
3;314;314;Ida;FPMA;6,0;17,3
3;314;314;Ida;FPNOC;4,7;23,4
3;314;314;Ida;FPTA;5,6;16,2
3;314;314;Ida;NOC;0,7;20,0
3;314;314;Ida;PMA;7,3;14,6
3;314;314;Ida;PMD;4,0;16,9
3;314;314;Ida;PRENOC1;0,0;0,0
3;314;314;Ida;PRENOC2;3,5;25,7
3;314;314;Ida;PTA1;6,0;14,9
3;314;314;Ida;PTA2;5,0;19,9
3;314;314;Ida;TNOC;7,0;17,2
3;314;314;Ida;TPMA;6,7;16,4
3;314;314;Ret;FPMA;0,0;0,0
3;314;314;Ret;FPNOC;0,0;0,0
3;314;314;Ret;FPTA;0,0;0,0
3;314;314;Ret;NOC;0,0;0,0
3;314;314;Ret;PMA;0,0;0,0
3;314;314;Ret;PMD;0,0;0,0
3;314;314;Ret;PRENOC1;0,0;0,0
3;314;314;Ret;PRENOC2;0,0;0,0
3;314;314;Ret;PTA1;0,0;0,0
3;314;314;Ret;PTA2;0,0;0,0
3;314;314;Ret;TNOC;0,0;0,0
3;314;314;Ret;TPMA;0,0;0,0
3;317;I25;Ida;FPMA;5,0;21,6
3;317;I25;Ida;FPNOC;4,7;23,9
3;317;I25;Ida;FPTA;5,6;20,3
3;317;I25;Ida;NOC;0,4;22,6
3;317;I25;Ida;PMA;10,0;18,6
3;317;I25;Ida;PMD;4,7;21,4
3;317;I25;Ida;PRENOC1;0,0;0,0
3;317;I25;Ida;PRENOC2;2,0;25,7
3;317;I25;Ida;PTA1;8,0;17,8
3;317;I25;Ida;PTA2;6,0;21,0
3;317;I25;Ida;TNOC;5,0;20,4
3;317;I25;Ida;TPMA;5,3;20,8
3;317;I25;Ret;FPMA;0,0;0,0
3;317;I25;Ret;FPNOC;0,0;0,0
3;317;I25;Ret;FPTA;0,0;0,0
3;317;I25;Ret;NOC;0,0;0,0
3;317;I25;Ret;PMA;0,0;0,0
3;317;I25;Ret;PMD;0,0;0,0
